restaurant_id,name,category,price_tier,neighborhood,opening_time,closing_time,average_rating,good_for_kids
1,The German Beer Hall,American,cheap,Hell's Kitchen,10:09 AM,7:12 PM,0.4,true
2,The Malaysian Hawker Stall,Mexican,cheap,Bushwick,11:51 AM,9:12 PM,1.0,false
3,The Ethiopian Injera,French,cheap,Bushwick,6:17 AM,8:26 PM,5.0,true
4,The Irish Pub,Indian,cheap,Astoria,6:25 AM,10:21 AM,0.6,true
5,Bella Italia,Mexican,expensive,Harlem,8:23 AM,11:21 AM,2.9,true
6,The American Diner,Korean,expensive,Astoria,10:13 AM,7:05 PM,4.3,true
7,The Vietnamese Pho,Italian,expensive,Williamsburg,11:19 AM,8:07 PM,0.1,false
8,The Noodle Bar,Thai,expensive,Bedford-Stuyvesant,8:18 AM,9:08 PM,2.7,true
9,The Dutch Pancake House,Indian,cheap,Bushwick,9:54 AM,8:21 PM,2.0,false
10,The Mexican Cantina,Chinese,expensive,Lower East Side,8:26 AM,3:18 PM,3.3,false
11,The Pancake Palace,American,expensive,Bedford-Stuyvesant,11:44 AM,7:20 PM,0.2,true
12,The Canadian Maple,Indian,expensive,Murray Hill,9:08 AM,6:03 PM,4.5,true
13,The Mediterranean Grill,Mediterranean,expensive,Upper East Side,9:59 AM,7:51 PM,3.5,false
14,Cafe Delight,Indian,expensive,Lower East Side,8:58 AM,8:51 PM,4.0,true
15,The Sweet Tooth,Indian,cheap,Murray Hill,7:24 AM,3:12 PM,0.0,true
16,The Chinese Dim Sum,Korean,medium,Lower East Side,11:53 AM,11:54 AM,0.0,false
17,The Pasta Place,Mexican,cheap,Astoria,8:04 AM,10:04 PM,4.2,false
18,The Vietnamese Pho,Greek,medium,Astoria,11:14 AM,7:52 PM,2.2,true
19,The Brazilian Churrascaria,Brazilian,cheap,Murray Hill,10:53 AM,3:11 PM,0.0,false
20,The Vietnamese Pho,Mexican,cheap,Astoria,9:10 AM,2:41 PM,4.6,false
21,The Irish Pub,Japanese,cheap,Long Island City,9:05 AM,11:27 PM,4.4,true
22,Taco Fiesta,Brazilian,expensive,Park Slope,6:20 AM,4:09 PM,3.8,true
23,Taco Fiesta,Brazilian,expensive,Hell's Kitchen,9:35 AM,10:47 PM,4.3,false
24,The Korean BBQ,Chinese,expensive,Chelsea,8:00 AM,12:03 PM,2.7,true
25,Sushi House,American,cheap,Park Slope,7:20 AM,10:33 AM,1.5,false
26,The Malaysian Hawker Stall,Italian,expensive,Hell's Kitchen,7:26 AM,11:08 AM,0.9,true
27,The Salad Bar,Indian,expensive,Lower East Side,10:41 AM,5:34 PM,3.7,false
28,The Egyptian Falafel,Chinese,cheap,Bedford-Stuyvesant,6:16 AM,12:27 PM,3.8,true
29,Taco Fiesta,Italian,cheap,Upper East Side,11:08 AM,9:22 PM,0.3,true
30,The Australian Outback,Chinese,cheap,Murray Hill,7:23 AM,11:07 PM,5.0,true
31,The American Diner,Chinese,expensive,Jackson Heights,6:44 AM,3:44 PM,3.0,false
32,Bella Italia,Italian,cheap,Bedford-Stuyvesant,7:40 AM,1:56 PM,4.1,true
33,The American Diner,Mediterranean,medium,Upper East Side,7:41 AM,12:54 PM,1.4,true
34,Pizza Paradise,Italian,expensive,Lower East Side,11:11 AM,2:04 PM,4.4,false
35,The Pasta Place,Indian,medium,Greenwich Village,10:42 AM,5:32 PM,0.8,true
36,Sushi House,Brazilian,medium,Astoria,8:04 AM,3:52 PM,0.6,true
37,The Swiss Chocolate Factory,American,medium,Astoria,9:50 AM,11:08 AM,0.9,false
38,The Vietnamese Pho,Mexican,medium,Washington Heights,9:33 AM,9:30 PM,3.0,false
39,The Spice Route,Turkish,cheap,Jackson Heights,6:33 AM,4:21 PM,3.7,false
40,The Ethiopian Injera,Turkish,expensive,Harlem,10:27 AM,4:05 PM,1.3,true
41,The Vietnamese Pho,Turkish,cheap,Harlem,10:43 AM,9:26 PM,0.1,false
42,The Seafood Shack,Brazilian,medium,Bedford-Stuyvesant,11:48 AM,6:57 PM,4.6,true
43,The Spanish Tapas Bar,Vietnamese,medium,Upper East Side,11:56 AM,11:16 AM,3.0,false
44,The Peruvian Ceviche,Mediterranean,expensive,Upper East Side,11:30 AM,1:30 PM,2.4,false
45,The Salad Bar,Mexican,cheap,Long Island City,6:40 AM,7:49 PM,1.6,true
46,The Soup Kitchen,Korean,expensive,Long Island City,7:17 AM,11:34 AM,2.6,false
47,The Moroccan Tagine,Japanese,expensive,Harlem,10:59 AM,2:18 PM,1.2,false
48,The Thai Orchid,French,cheap,Bedford-Stuyvesant,6:21 AM,1:30 PM,0.7,false
49,The Indonesian Satay House,Japanese,medium,Long Island City,11:26 AM,10:00 AM,0.2,true
50,The Egyptian Falafel,Spanish,expensive,Long Island City,11:43 AM,4:25 PM,1.3,true
51,The Sandwich Shop,Spanish,expensive,Upper East Side,6:53 AM,9:19 PM,2.4,false
52,The Chinese Dim Sum,American,medium,Greenwich Village,10:50 AM,4:24 PM,3.9,false
53,The Indian Curry House,Japanese,expensive,Bushwick,7:08 AM,6:17 PM,0.4,false
54,The Sandwich Shop,Mediterranean,medium,Murray Hill,8:54 AM,6:44 PM,2.8,false
55,Sushi House,French,expensive,Bushwick,10:51 AM,11:58 AM,1.7,false
56,Taco Fiesta,Korean,medium,Jackson Heights,10:15 AM,6:26 PM,1.1,false
57,The Indian Curry House,Mexican,cheap,Washington Heights,6:26 AM,2:54 PM,1.0,true
58,The Thai Orchid,Mexican,expensive,Bushwick,8:51 AM,10:15 PM,4.2,true
59,Sushi House,Indian,cheap,Bedford-Stuyvesant,10:50 AM,7:29 PM,4.5,false
60,Cafe Delight,Mexican,medium,Washington Heights,8:37 AM,9:07 PM,4.8,true
61,The Turkish Kebab,Spanish,cheap,Lower East Side,9:41 AM,9:46 PM,2.7,false
62,The BBQ Pit,Chinese,medium,Jackson Heights,8:18 AM,1:18 PM,4.7,true
63,The Australian Outback,Indian,expensive,Bedford-Stuyvesant,6:00 AM,7:31 PM,1.8,false
64,The Hungry Panda,Vietnamese,cheap,Murray Hill,8:42 AM,3:55 PM,3.8,false
65,The Australian Outback,Japanese,cheap,Chelsea,9:10 AM,10:29 PM,4.8,true
66,The Malaysian Hawker Stall,Korean,expensive,Murray Hill,11:47 AM,3:42 PM,3.1,false
67,The Mexican Cantina,Mediterranean,medium,Bushwick,8:11 AM,5:31 PM,3.7,true
68,The Soup Kitchen,Italian,expensive,Chelsea,9:00 AM,2:08 PM,0.8,true
69,The Noodle Bar,Brazilian,medium,Bushwick,8:52 AM,10:46 AM,4.2,true
70,The Veggie Patch,Indian,medium,Jackson Heights,7:04 AM,5:08 PM,0.5,false
71,The Hungry Panda,Korean,expensive,Lower East Side,8:39 AM,11:10 AM,0.5,false
72,The Burger Joint,Brazilian,cheap,Bushwick,10:51 AM,2:42 PM,3.0,false
73,The Australian Outback,Italian,cheap,Park Slope,8:42 AM,2:00 PM,4.4,true
74,The Coffee Bean,Greek,cheap,Long Island City,8:24 AM,10:42 PM,2.4,true
75,Taco Fiesta,Italian,cheap,Park Slope,10:36 AM,9:01 PM,3.5,false
76,The Pasta Place,Korean,cheap,Murray Hill,11:04 AM,11:28 AM,2.8,false
77,The Sweet Tooth,Chinese,cheap,Hell's Kitchen,8:44 AM,1:03 PM,0.5,false
78,The Soup Kitchen,Italian,expensive,Park Slope,11:37 AM,11:59 AM,1.9,false
79,The Coffee Bean,Spanish,expensive,Hell's Kitchen,8:53 AM,6:00 PM,3.7,false
80,Pizza Paradise,Greek,expensive,Long Island City,8:04 AM,10:13 AM,2.1,true
81,The British Fish and Chips,Indian,cheap,Park Slope,9:58 AM,10:09 PM,4.4,true
82,The American Diner,Italian,medium,Upper East Side,6:57 AM,12:29 PM,1.8,true
83,The Seafood Shack,Indian,expensive,Bedford-Stuyvesant,6:13 AM,6:10 PM,2.6,false
84,Bella Italia,Japanese,expensive,Bedford-Stuyvesant,8:17 AM,10:44 PM,3.4,true
85,Cafe Delight,Japanese,medium,Murray Hill,10:47 AM,5:44 PM,3.0,false
86,The Italian Gelateria,Chinese,expensive,Washington Heights,6:57 AM,6:39 PM,4.5,true
87,The Vietnamese Pho,Thai,cheap,Williamsburg,9:17 AM,9:44 PM,3.1,true
88,The Steakhouse,Vietnamese,expensive,Harlem,8:29 AM,11:38 PM,2.8,true
89,Bella Italia,Mexican,cheap,Park Slope,7:06 AM,8:21 PM,1.0,false
90,The Korean BBQ,Indian,expensive,Bedford-Stuyvesant,8:21 AM,2:52 PM,2.9,true
91,The BBQ Pit,Korean,medium,Astoria,6:02 AM,10:32 AM,5.0,true
92,The Moroccan Tagine,Chinese,cheap,Lower East Side,7:45 AM,4:58 PM,3.0,false
93,The Greek Taverna,Spanish,cheap,Murray Hill,6:07 AM,10:48 PM,1.6,true
94,The Noodle Bar,Spanish,cheap,Murray Hill,11:23 AM,1:38 PM,1.1,true
95,The Belgian Waffle Cart,Indian,medium,Greenwich Village,9:42 AM,11:30 AM,4.6,false
96,The Veggie Patch,Chinese,expensive,Park Slope,10:19 AM,10:12 PM,2.7,true
97,The Belgian Waffle Cart,Mediterranean,expensive,Greenwich Village,6:29 AM,2:49 PM,4.9,true
98,The Burger Joint,Chinese,medium,Long Island City,11:22 AM,1:33 PM,4.6,false
99,The Hungry Panda,Italian,expensive,Upper East Side,9:51 AM,4:03 PM,5.0,true
100,The Coffee Bean,Turkish,medium,Jackson Heights,7:22 AM,6:28 PM,2.4,false
101,The German Beer Hall,Brazilian,medium,Harlem,6:09 AM,2:40 PM,1.3,false
102,The Mexican Cantina,Turkish,expensive,Bushwick,11:49 AM,10:33 PM,4.3,true
103,The French Bistro,Japanese,medium,Williamsburg,8:05 AM,11:14 AM,0.3,false
104,The Egyptian Falafel,Japanese,expensive,Long Island City,11:56 AM,4:44 PM,2.8,true
105,The Korean BBQ,Turkish,cheap,Lower East Side,11:49 AM,11:35 PM,0.9,false
106,The Salad Bar,Brazilian,expensive,Long Island City,7:01 AM,11:30 AM,1.3,true
107,The Italian Gelateria,Mexican,expensive,Williamsburg,7:29 AM,8:41 PM,0.1,false
108,The Mexican Cantina,Chinese,medium,Greenwich Village,8:19 AM,10:40 AM,0.4,true
109,The British Fish and Chips,Brazilian,medium,Bedford-Stuyvesant,9:51 AM,11:24 PM,2.3,false
110,The Pancake Palace,Brazilian,cheap,Park Slope,7:30 AM,10:13 PM,3.6,false
111,The German Beer Hall,Japanese,expensive,Long Island City,8:52 AM,6:40 PM,0.0,false
112,The Salad Bar,Indian,medium,Harlem,9:59 AM,8:05 PM,0.2,false
113,The Brazilian Churrascaria,Spanish,cheap,Long Island City,11:32 AM,11:45 AM,1.4,true
114,The Veggie Patch,Spanish,expensive,Williamsburg,9:47 AM,10:59 PM,1.2,false
115,The Veggie Patch,Brazilian,medium,Williamsburg,10:38 AM,1:04 PM,3.1,true
116,The Dutch Pancake House,Vietnamese,cheap,Long Island City,7:19 AM,8:01 PM,3.7,false
117,Bella Italia,Vietnamese,cheap,Hell's Kitchen,8:07 AM,10:14 AM,4.7,true
118,The Spice Route,Spanish,medium,Upper East Side,8:26 AM,8:04 PM,2.2,true
119,The Sandwich Shop,Turkish,expensive,Park Slope,10:32 AM,10:44 AM,0.5,false
120,The Burger Joint,Italian,expensive,Bushwick,7:40 AM,11:43 AM,0.6,false
121,The Mediterranean Grill,French,expensive,Harlem,9:51 AM,5:59 PM,4.1,false
122,Sushi House,Thai,expensive,Astoria,11:30 AM,10:37 AM,1.8,true
123,The Swiss Chocolate Factory,Greek,cheap,Bedford-Stuyvesant,6:14 AM,10:34 AM,0.4,false
124,The Thai Orchid,Japanese,expensive,Hell's Kitchen,10:12 AM,2:03 PM,3.7,false
125,The Egyptian Falafel,Turkish,medium,Bedford-Stuyvesant,11:29 AM,11:50 PM,4.0,true
126,The Japanese Teppanyaki,Thai,cheap,Harlem,11:17 AM,10:06 AM,4.4,true
127,The German Beer Hall,American,cheap,Chelsea,8:07 AM,10:45 AM,4.1,false
128,The Hungry Panda,Japanese,expensive,Park Slope,7:38 AM,10:51 PM,4.6,true
129,The Japanese Teppanyaki,Turkish,expensive,Hell's Kitchen,6:46 AM,9:07 PM,3.9,true
130,The Sweet Tooth,Brazilian,expensive,Bushwick,11:14 AM,2:13 PM,2.2,false
131,The Pasta Place,Brazilian,medium,Bushwick,9:06 AM,11:04 PM,4.7,true
132,The Japanese Teppanyaki,Greek,cheap,Long Island City,11:33 AM,8:17 PM,0.5,true
133,The Pancake Palace,Japanese,medium,Greenwich Village,10:17 AM,6:33 PM,4.0,false
134,Bella Italia,Spanish,expensive,Jackson Heights,11:44 AM,12:13 PM,3.1,true
135,The Salad Bar,Thai,medium,Greenwich Village,6:35 AM,10:49 PM,3.8,true
136,The Coffee Bean,French,cheap,Long Island City,9:54 AM,12:39 PM,0.3,true
137,The Brazilian Churrascaria,American,medium,Greenwich Village,11:59 AM,3:22 PM,0.5,false
138,The Indian Curry House,Italian,cheap,Chelsea,6:29 AM,10:51 PM,1.6,false
139,The Dutch Pancake House,Greek,cheap,Williamsburg,11:02 AM,8:57 PM,2.6,false
140,Bella Italia,Thai,expensive,Jackson Heights,6:53 AM,3:19 PM,1.9,true
141,The Greek Taverna,Indian,medium,Park Slope,7:19 AM,5:13 PM,4.4,true
142,The Salad Bar,Brazilian,medium,Williamsburg,10:35 AM,1:24 PM,4.9,false
143,The Soup Kitchen,Brazilian,expensive,Long Island City,11:33 AM,7:39 PM,0.6,false
144,The Steakhouse,Korean,cheap,Murray Hill,8:51 AM,11:39 PM,4.0,true
145,Bella Italia,Indian,cheap,Jackson Heights,10:53 AM,9:49 PM,4.9,true
146,The Sweet Tooth,Mediterranean,medium,Williamsburg,6:04 AM,9:16 PM,4.9,true
147,The Sandwich Shop,French,medium,Williamsburg,7:41 AM,2:46 PM,3.5,true
148,The Australian Outback,Japanese,cheap,Chelsea,9:25 AM,9:24 PM,2.7,false
149,The Malaysian Hawker Stall,Korean,medium,Long Island City,6:11 AM,8:14 PM,4.8,false
150,The Italian Gelateria,Italian,cheap,Lower East Side,6:01 AM,8:37 PM,4.6,true
